experiment,timestamp,run,policy_operator,attribute_count,policy,usk_attributes,plaintext_bytes,ciphertext_bin_bytes,ciphertext_b64_bytes,mqtt_message_bytes,mqtt_compact_message_bytes,overhead_ciphertext_ratio,overhead_mqtt_ratio,overhead_mqtt_percentage,encryption_time_ms,decryption_time_ms,decrypt_success,recovered_output
exp2_policy_complexity_overhead,2026-05-24T17:59:13,1,and,1,attr1,|attr1,256,864,1152,1216,1211,3.375,4.75,375.0,62.209,76.974,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""device"":""esp32"",""sensor"":""dht22"",""seq"":1,""data"":""xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx""}"
exp2_policy_complexity_overhead,2026-05-24T17:59:14,2,and,1,attr1,|attr1,256,864,1152,1216,1211,3.375,4.75,375.0,68.597,77.149,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""device"":""esp32"",""sensor"":""dht22"",""seq"":1,""data"":""xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx""}"
exp2_policy_complexity_overhead,2026-05-24T17:59:14,3,and,1,attr1,|attr1,256,864,1152,1216,1211,3.375,4.75,375.0,59.172,78.856,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""device"":""esp32"",""sensor"":""dht22"",""seq"":1,""data"":""xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx""}"
exp2_policy_complexity_overhead,2026-05-24T17:59:14,4,and,1,attr1,|attr1,256,864,1152,1216,1211,3.375,4.75,375.0,60.812,78.783,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""device"":""esp32"",""sensor"":""dht22"",""seq"":1,""data"":""xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx""}"
exp2_policy_complexity_overhead,2026-05-24T17:59:14,5,and,1,attr1,|attr1,256,864,1152,1216,1211,3.375,4.75,375.0,64.061,87.249,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""device"":""esp32"",""sensor"":""dht22"",""seq"":1,""data"":""xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx""}"
exp2_policy_complexity_overhead,2026-05-24T17:59:15,6,and,1,attr1,|attr1,256,864,1152,1216,1211,3.375,4.75,375.0,72.603,99.915,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""device"":""esp32"",""sensor"":""dht22"",""seq"":1,""data"":""xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx""}"
exp2_policy_complexity_overhead,2026-05-24T17:59:15,7,and,1,attr1,|attr1,256,864,1152,1216,1211,3.375,4.75,375.0,71.957,81.551,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""device"":""esp32"",""sensor"":""dht22"",""seq"":1,""data"":""xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx""}"
exp2_policy_complexity_overhead,2026-05-24T17:59:15,8,and,1,attr1,|attr1,256,864,1152,1216,1211,3.375,4.75,375.0,61.759,71.462,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""device"":""esp32"",""sensor"":""dht22"",""seq"":1,""data"":""xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx""}"
exp2_policy_complexity_overhead,2026-05-24T17:59:16,9,and,1,attr1,|attr1,256,864,1152,1216,1211,3.375,4.75,375.0,67.127,82.73,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""device"":""esp32"",""sensor"":""dht22"",""seq"":1,""data"":""xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx""}"
exp2_policy_complexity_overhead,2026-05-24T17:59:16,10,and,1,attr1,|attr1,256,864,1152,1216,1211,3.375,4.75,375.0,60.35,90.064,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""device"":""esp32"",""sensor"":""dht22"",""seq"":1,""data"":""xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx""}"
