experiment,timestamp,target_message_volume,message_index,input_topic,output_topic,raw_payload,normalized_payload,plaintext_bytes,policy,usk_attributes,ciphertext_bin_bytes,ciphertext_b64_bytes,mqtt_message_bytes,mqtt_compact_message_bytes,overhead_ciphertext_ratio,overhead_mqtt_ratio,overhead_mqtt_percentage,encryption_time_ms,decryption_time_ms,decrypt_success,recovered_output
exp3_message_volume_real_sensor,2026-05-24T19:37:40,30,1,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.70, ""hum"": 81.20}","{""temp"":24.7,""hum"":81.2}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,79.018,73.32,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.7,""hum"":81.2}"
exp3_message_volume_real_sensor,2026-05-24T19:37:45,30,2,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.70, ""hum"": 81.20}","{""temp"":24.7,""hum"":81.2}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,68.828,88.209,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.7,""hum"":81.2}"
exp3_message_volume_real_sensor,2026-05-24T19:37:49,30,3,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.70, ""hum"": 81.20}","{""temp"":24.7,""hum"":81.2}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,75.992,75.017,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.7,""hum"":81.2}"
exp3_message_volume_real_sensor,2026-05-24T19:37:54,30,4,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.70, ""hum"": 81.20}","{""temp"":24.7,""hum"":81.2}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,65.148,75.561,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.7,""hum"":81.2}"
exp3_message_volume_real_sensor,2026-05-24T19:37:59,30,5,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.70, ""hum"": 81.20}","{""temp"":24.7,""hum"":81.2}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,82.273,74.115,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.7,""hum"":81.2}"
exp3_message_volume_real_sensor,2026-05-24T19:38:05,30,6,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.70, ""hum"": 81.20}","{""temp"":24.7,""hum"":81.2}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,80.247,73.092,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.7,""hum"":81.2}"
exp3_message_volume_real_sensor,2026-05-24T19:38:10,30,7,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.70, ""hum"": 81.20}","{""temp"":24.7,""hum"":81.2}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,76.224,73.462,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.7,""hum"":81.2}"
exp3_message_volume_real_sensor,2026-05-24T19:38:15,30,8,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.70, ""hum"": 81.10}","{""temp"":24.7,""hum"":81.1}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,82.173,80.463,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.7,""hum"":81.1}"
exp3_message_volume_real_sensor,2026-05-24T19:38:20,30,9,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.70, ""hum"": 81.20}","{""temp"":24.7,""hum"":81.2}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,70.938,89.315,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.7,""hum"":81.2}"
exp3_message_volume_real_sensor,2026-05-24T19:38:25,30,10,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.70, ""hum"": 81.20}","{""temp"":24.7,""hum"":81.2}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,90.977,71.409,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.7,""hum"":81.2}"
