timestamp_utc,component,event_type,message_id,sensor_id,sequence,plain_topic,protected_topic,decrypted_topic,policy,success,plaintext_bytes,ciphertext_bin_bytes,ciphertext_b64_bytes,abe_encrypt_ms,abe_decrypt_ms,blockchain_store_protected_ms,blockchain_store_consumption_ms,mqtt_publish_ms,total_processing_ms,ciphertext_hash,result_hash,tx_hash,block_number,gas_used,error
2026-06-06T00:41:30.807498+00:00,producer_crypto,protected_message_published,sensor_001:205,sensor_001,205,sensors/sensor_001/plain,sensors/sensor_001/protected,,attr1 or attr2,True,124,864,1152,357.401,,1652.32,,0.046,2030.523,3af3d226dba34f115e5179b04e283c0da4da447f0170663fb187c0b9a8837904,,9e39ce2dd0a866c01d7666778d06018cb23e292f70a35bb70095abcaa7bfc35a,941061,226839,
2026-06-06T00:41:32.188997+00:00,subscriber_crypto,decryption_success,sensor_001:205,sensor_001,205,,sensors/sensor_001/protected,sensors/sensor_001/decrypted,attr1 or attr2,True,,864,1152,,233.36,,1147.001,0.055,1380.783,,874620b85cfac6f34942acfdfe27b6b520043b38d25ea32da70e94a8e4427fa5,1ff79c1dfb0893bc858e9c53b3d0f87b4399b31ba3700e4f272d8cda991cfb17,941063,219897,
2026-06-06T00:41:35.572045+00:00,producer_crypto,protected_message_published,sensor_001:206,sensor_001,206,sensors/sensor_001/plain,sensors/sensor_001/protected,,attr1 or attr2,True,124,864,1152,313.218,,1361.789,,0.121,1688.052,c36c04624702fa75d7108b32944239adba62a7953a3c973c3f3315f7ee7dd806,,3e68d8c40ccdac76d91d164ff39dbe2d39fad4107644b237cc0b66f92c6863c1,941066,226839,
2026-06-06T00:41:36.048308+00:00,subscriber_crypto,decryption_success,sensor_001:206,sensor_001,206,,sensors/sensor_001/protected,sensors/sensor_001/decrypted,attr1 or attr2,True,,864,1152,,253.141,,221.141,0.09,475.03,,1274e9ccc95029bf59d6efad3fc31c17bc367f8b9e14ea639e319808a45b40c2,8c8a59214079b69b2a3ca8dad768241c27bec1b1652917020868daa33812f314,941067,219897,
2026-06-06T00:41:40.224120+00:00,producer_crypto,protected_message_published,sensor_001:207,sensor_001,207,sensors/sensor_001/plain,sensors/sensor_001/protected,,attr1 or attr2,True,124,864,1152,354.134,,955.83,,0.072,1321.629,e167459df43a8d04db60899705b4177d6b304a987ac2f08bc122b4c439797141,,08c99b23381f207d4aed2563ecd0922ef922efc193f8b2e22efe1533c76e80bf,941071,226839,
2026-06-06T00:41:41.323137+00:00,subscriber_crypto,decryption_success,sensor_001:207,sensor_001,207,,sensors/sensor_001/protected,sensors/sensor_001/decrypted,attr1 or attr2,True,,864,1152,,248.666,,848.632,0.064,1097.873,,0a43bbeee0fa0e29c4bfa177e390be835a07827f4f51d60b9448456fdc749639,0f1f21053e41d2ec9d1ab11ebe8ba0128804d1aaecc2f52ee0c45ca1ef86e693,941072,219897,
2026-06-06T00:41:45.219146+00:00,producer_crypto,protected_message_published,sensor_001:208,sensor_001,208,sensors/sensor_001/plain,sensors/sensor_001/protected,,attr1 or attr2,True,124,864,1152,335.54,,749.764,,0.078,1093.753,3e0759993ed2fce7ffefcb782bbd0d07df39abca5ee0ec5d2b6520054323fb69,,7d18a2cf498043f89dbd88766ae85915dbfbdbb013999dd98b6746c0335f47d4,941076,226839,
2026-06-06T00:41:46.403081+00:00,subscriber_crypto,decryption_success,sensor_001:208,sensor_001,208,,sensors/sensor_001/protected,sensors/sensor_001/decrypted,attr1 or attr2,True,,864,1152,,245.323,,937.05,0.034,1182.917,,baa3f22d61029a84b23a3d2957013d016719ce5fbf2bea3671511e13eadf77f0,3730851ca5d51d2fb3c2a0163bbaf1057f5b21aab4fbdf82bbe67d3ff1d57e92,941077,219897,
2026-06-06T00:41:50.516314+00:00,producer_crypto,protected_message_published,sensor_001:209,sensor_001,209,sensors/sensor_001/plain,sensors/sensor_001/protected,,attr1 or attr2,True,124,864,1152,320.681,,1246.033,,0.04,1579.365,fa5bd02c67780c7d77fd49bb5460dd23fbc47721eb6d4f071949a27567b44687,,7b064e4375b132ec756799ee407302f2777198c2cbd43760c9040efabcc47e97,941081,226839,
2026-06-06T00:41:51.410168+00:00,subscriber_crypto,decryption_success,sensor_001:209,sensor_001,209,,sensors/sensor_001/protected,sensors/sensor_001/decrypted,attr1 or attr2,True,,864,1152,,252.019,,640.71,0.072,893.154,,ea763656ad86f78a21e49d37c81fa71cbf15fcac0da43f62a50c94016bae57ae,a5ae21b34bffd1e88e15cf6e8bc098cf8c4e05d7670aa5d62ca6ff1dca146aed,941082,219897,
